file_name,create_date,file_url,is_recent
海通月月升集合资产管理计划第222期产品开放公告85206M,2018-08-17,http://www.htsamc.com/upload/20180817/201808171534512225669.pdf,Yes
海通赢家系列-月月赢集合资产管理计划第529期产品结算公告851911,2018-08-17,http://www.htsamc.com/upload/20180817/201808171534510629705.pdf,Yes
海通海蓝量化增强集合资产管理计划G02号产品开放参与公告859G02,2018-08-17,http://www.htsamc.com/upload/20180817/201808171534510180610.pdf,Yes
海通海丰系列-工银2号集合资产管理计划推广公告,2018-08-17,http://www.htsamc.com/upload/20180817/201808171534505060309.pdf,Yes
海通悍马卫士2号集合资产管理计划第一次合同变更公告,2018-08-17,http://www.htsamc.com/upload/20180821/201808211534817026607.pdf,Yes
海通赢家系列-月月赢集合资产管理计划第537期产品临时开放参与公告85...,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510790399.pdf,Yes
海通赢家系列-月月赢集合资产管理计划第537期产品开放公告851962,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510759282.pdf,Yes
海通赢家系列-月月赢集合资产管理计划第536期产品开放公告851906,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510736361.pdf,Yes
海通赢家系列-月月赢集合资产管理计划第535期产品临时开放参与公告85...,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510704540.pdf,Yes
海通安享纯债51号集合资产管理计划成立公告,2018-08-15,http://www.htsamc.com/upload/20180817/201808171534505002587.pdf,Yes
海通海丰系列-工银1号集合资产管理计划征求委托人意见的函,2018-08-15,http://www.htsamc.com/upload/20180817/201808171534504607047.pdf,Yes
增加浦发银行为年年升集合资产管理计划推广机构的公告,2018-08-14,http://www.htsamc.com/upload/20180817/201808171534504904158.pdf,Yes
海通赢家系列-月月赢集合资产管理计划第535期产品开放公告851291,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510676893.pdf,Yes
海通赢家系列-月月赢集合资产管理计划第528期产品开放公告851915,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510607720.pdf,Yes
海通赢家系列-月月赢集合资产管理计划第526期产品结算公告851912,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510561793.pdf,Yes
增加浦发银行为月月升集合资产管理计划推广机构的公告,2018-08-14,http://www.htsamc.com/upload/20180817/201808171534504690070.pdf,Yes
海通月月升集合资产管理计划第224期产品临时开放参与公告85206P,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534512671094.pdf,Yes
海通赢家系列-月月赢集合资产管理计划第496期产品结算公告851961,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510541247.pdf,Yes
海通赢家系列-月月赢集合资产管理计划第495期产品结算公告851964,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510508214.pdf,Yes
海通赢家系列-月月赢集合资产管理计划第454期产品结算公告851992,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510482870.pdf,Yes
海通月月升集合资产管理计划第224期产品开放公告85206P,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534512647109.pdf,Yes
海通月月升集合资产管理计划第223期产品开放公告85206N,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534512621738.pdf,Yes
海通月月升集合资产管理计划第222期产品开放公告85206M,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534512597103.pdf,Yes
海通月月升集合资产管理计划第221期产品临时开放参与公告852062,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534512206272.pdf,Yes
海通月月升集合资产管理计划第220期产品临时开放参与公告852036,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534512186055.pdf,Yes
海通月月升集合资产管理计划第202期产品结算公告852031,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534512166400.pdf,Yes
海通月月升集合资产管理计划第201期产品结算公告85203I,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534512045155.pdf,Yes
海通月月升集合资产管理计划第199期产品结算公告85203H,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534512021331.pdf,Yes
海通月月升集合资产管理计划第184期产品结算公告85206B,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511994370.pdf,Yes
海通月月升集合资产管理计划第181期产品结算公告85206A,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511970772.pdf,Yes
海通赢家系列-月月鑫集合资产管理计划第二百五十八次开放公告851810,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510451215.pdf,Yes
海通赢家系列-年年鑫集合资产管理计划第二百四十七次开放公告851890,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510421775.pdf,Yes
海通赢家系列-季季鑫集合资产管理计划第二百四十九次开放公告851830,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510385379.pdf,Yes
海通赢家系列-半年鑫集合资产管理计划第二百四十七次开放公告851860,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510355784.pdf,Yes
海通海蓝量化增强集合资产管理计划G02号产品结算公告859G02,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510152343.pdf,Yes
海通海蓝量化增强集合资产管理计划4号产品结算公告859304,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510077014.pdf,Yes
海通海蓝量化增强集合资产管理计划3月期A23号产品结算公告859A23,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510042320.pdf,Yes
海通海蓝量化增强集合资产管理计划3月期A22号产品结算公告859A22,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509911636.pdf,Yes
海通海蓝量化增强集合资产管理计划3月期06号产品结算公告859306,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509880494.pdf,Yes
海通海蓝量化增强集合资产管理计划3月期78号产品开放参与公告85937...,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509744868.pdf,Yes
海通月月财集合资产管理计划第1276期产品开放公告OTC5D1,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511814922.pdf,Yes
海通月月财集合资产管理计划第1275期产品临时开放参与公告OTC5BM,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511789994.pdf,Yes
海通月月财集合资产管理计划第1275期产品开放公告OTC5BM,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511767704.pdf,Yes
海通月月财集合资产管理计划第1274期产品临时开放参与公告OTC5BL,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511745513.pdf,Yes
